Date,Week Day,Total Time,Most Used Time,Others Time,Extra Time,Most Used Category,Most Used App,Use Time,First Pickup,Total Pickups,First App,Use Number,Total Notifications,Most Notified App,App Notifications
11/29/2021,Monday,3.55,2.633333333,0.333333333,0.583333333,Social,TikTok,1.233333333,1:49 AM,86,Snapchat,34,117,Snapchat,63
11/30/2021,Tuesday,3.616666667,2.483333333,0.583333333,0.55,Social,TikTok,0.916666667,8:01 AM,55,Instagram,9,67,Snapchat,23
12/01/2021,Wednesday,13.23333333,7.616666667,4.65,0.966666667,Entertainment,YouTube,7.45,6:55 AM,113,Snapchat,46,98,Snapchat,34
12/02/2021,Thursday,6.566666667,3.616666667,2.383333333,0.566666667,Entertainment,YouTube,3.616666667,6:00 AM,78,Snapchat,30,80,Snapchat,26
12/03/2021,Friday,8.666666667,5.5,2.716666667,0.45,Entertainment,YouTube,5.45,12:04 AM,104,Snapchat,55,85,Snapchat,61
12/04/2021,Saturday,14.4,10.73333333,3.55,0.116666667,Entertainment,YouTube,8.933333333,12:01 AM,66,Snapchat,18,70,Snapchat,26
12/05/2021,Sunday,13.38333333,8.083333333,4.433333333,0.866666667,Entertainment,YouTube,7.6,12:04 AM,80,Snapchat,25,61,Snapchat,21
12/06/2021,Monday,12.68333333,6.466666667,5.983333333,0.233333333,Entertainment,Netflix,6.4,12:04 AM,78,Discord,26,87,Discord,19
12/07/2021,Tuesday,10.28333333,6.066666667,3.616666667,0.6,Entertainment,Prime Video,5.9,6:00 AM,87,Snapchat,23,83,Instagram,21
12/08/2021,Wednesday,10.98333333,8.683333333,1.833333333,0.466666667,Entertainment,YouTube,7.033333333,7:04 AM,90,Snapchat,39,91,Instagram,48
12/09/2021,Thursday,11.43333333,7.283333333,3.133333333,1.016666667,Entertainment,Disney+,7,12:07 AM,79,Instagram,19,73,Instagram,28
12/10/2021,Friday,10.33333333,6.7,3.166666667,0.466666667,Entertainment,Prime Video,6.1,12:12 AM,94,Snapchat,22,63,Snapchat,28
12/11/2021,Saturday,13.71666667,7.066666667,6.15,0.5,Entertainment,Prime Video,6.816666667,12:01 AM,95,Music,24,87,Instagram,24
